CORRECT_SENTENCE,ERRONEOUS_SENTENCE
 ta dunkkaaniyaa yuushuwaakka dooddoosona., ta dunkkaanayaa yuushuwaakka dooddoosona.
Ta mata laggeti ubbay tana shenetoosona; taani siiqidoogeetikka taayyo zokkuwaa zaaridosona.,Ta mata laggeta ubbay tana shenetoosona; taana siiqidoogeetikka taayyo zokkuwaa zaaridosona.
Ta meqettay ta gogaara ohettiis; hayquwaappe qiisasan taani attaas.,Ta meqexxay ta gogaari ohexxiis; hayquwaaffe qiisasam taana axxaas.
"Inttenoo ta laggetoo, Xoossaa kushee tana dechchido gishshaw, taayyo qarettite.","Inxxenoo ta laggetoo, toozzaa kushee tana dechhchhido gizhzhaw, taayyo qarexxite."
"Xoossay tana yedettiyoogaadan, intte tana ayssi yedetteetii? Hanno gakkanaassi intte tana tuggayidoogee gidennee?","toozzay tana yedexxiyoogaadan, inxxe tana ayzzi yedexxeetii? Hanno gakkanaazzi inxxe tana tuggayidoogee gidennee?"
"Hanno gakkanaashin taani haasayido qaalay, way hassayettidaa gideerenneeshsha!","Hanno gakkanaashim taana haasayido qaalay, way hazzayexxidaa gideerenneezhzha!"
 Maxaafankka way xaafettidaa gideerenneeshsha!, Mataafankka way taafexxidaa gideerenneezhzha!
"Daro gam77ana mala, birata maarisan zaallaa bollan woocettidi xaafetteerenneeshsha!","Daro gam77ana mala, birata maarisam zaallaa bollam woochhexxidi taafexxeerenneezhzha!"
Tana Wozidaagee paxa de7iyoogaanne wurssettan biittaa bollan i eqqanaagaa taani erays.,Tana Wozidaagee pata de7iyoogaanne wurzzexxam biixxaa bollam a eqqanaagaa taa na'erays.
"Ta gogay meetetti wurikkonne, taani ta ashuwaappe shaahettada, Xoossaa be7anaagaa erays.","Ta gogay meetexxi wurikkonne, taana ta ashuwaaffe shaahexxada, toozzaa be7anaagaa erays."
"Hara uraa gidennan, taani ta huuphen, ta ayfiyan a be7ana. Hegaa gishshaw, ta wozanay ayba laamotii!","Hari uraa gidennan, taana ta huuhpen, ta ayfiyam a be7ana. Hegaa gizhzhaw, ta wozanay ayba laamotii!"
"Intte, Metuwaayyo unkkoy a gidido gishshaw, ane haayite! A yedettoos!giikko,","Inxxe, Metuwaayyo unkkoy a gidido gizhzhaw, ane haayite! A yedexxoos!giikko,"
bisuwaayyo yayyite! Xoossaa hanqqoy bisuwaara yaana; pirdday de7iyoogaakka erite yaagiis.,bisuwaayyo yayyite! toozzaa hanqqoy bisuwaari yaana; pirdday de7iyoogaakka erite yaagiis.
Hara gallassikka qassi kiitanchchati GODAA sinttan beettanaw yiidosona; Seexaanaykka qassi etaara issippe a sinttan beettanaw yiis.,Hari gallazzikka qazzi kiitanchhchhata GODAA sinxxam beexxanaw yiidosona; Seetaanaykka qazzi inxxena ari izziffe a sinxxam beexxanaw yiis.
"Yin GODay Seexaanaa, Laa neeni awppe yaadii? yaagiis. ","Yim GODay Seetaanaa, Laa neena awffe yaadii? yaagiis. "
"Yaagin GODay a, Ta ashkkaraa Iyyooba akeekada be7adii? ","Yaagim GODay a, Ta ashkkaraa Iyyooba akeekada be7adii? "
"Seexaanay zaaridi GODAA, Hegee ta mashuwaa ekko!yaagiyoogaadan, asi ba shemppuwaa gishshaw, baw de7iyaabaa ubbaa immana.","Seetaanay zaaridi GODAA, Hegee ta mashuwaa ekko!yaagiyoogaadan, asi ba shemffuwaa gizhzhaw, baw de7iyaabaa ubbaa immana."
"SHin neeni ne kushiyaa yeddada, a bolla ubbaa ane shoca. Yaatiyaakko i nena tumu ne sinttan qanggana yaagiis.","SHim neena nu kushiyaa yeddada, a bolla ubbaa ane shochha. Yaatiyaakko a nena tumu nu sinxxam qanggana yaagiis."
"Sa7aa bollan a milatiya boree baynnanne suure asi mulekka baawa. I GODAASSI yayyidi, iitabaappekka haakkida asa.","Sa7aa bollam a milatiya boree baynnanne suure asi mulekka baawa. a GODAAzzI yayyidi, iitabaaffekka haakkida asa."
" Gaasoy baynnan taani a xayssana mala, neeni tana denttettinkka, ha77i gakkanaassi i ba suuretettan minni eqqiis yaagiis."," Gaasoy baynnam taana a tayzzana mala, neena tana denxxexxinkka, ha77i gakkanaazzi a ba suuretexxam min na'eqqiis yaagiis."
"Yaagin GODay Seexaanaa, Eeno, a woroppappe attin, a bolli neeni koyidobaa oottanaw danddayaasa yaagiis.","Yaagim GODay Seetaanaa, Eeno, a woroffaffe axxin, a bolli neena koyidobaa ooxxanaw danddayaasa yaagiis."
"Hegaappe guyyiyan, Seexaanay GODAA sinttappe kiyidi, Iyyooba tohuwaappe huuphiyaa gakkanaassi iita masunttay a bolli kiyanaadan oottiis.","Hegaaffe guyyiyan, Seetaanay GODAA sinxxaffe kiyidi, Iyyooba tohuwaaffe huuhpiyaa gakkanaazzi iita masunxxay a bolli kiyanaadam ooxxiis."
"Yaagin Seexaanay GODAAYYO, Taani sa7an ubban yaanne haanne yuuyiyoosaappenne simerettiyoosaappe yaas yaagiis.","Yaagim Seetaanay GODAAYYO, Taana sa7am ubbam yaanne haanne yuuyiyoosaaffenne simerexxiyoosaaffe yaas yaagiis."
"Yaatin, Iyyoobi bidinttaa bolli uttidi, kon77an bana goodiis.","Yaatin, Iyyoobi bidinxxaa bolli uxxidi, kon77am bana goodiis."
"A maccaasiyaa a, Ha77i gakkanaassikka neeni ne suuretettan minna uttadii? Xoossaa qanggada hayqqaaga yaagaasu.","A machhchhaasiyaa a, Ha77i gakkanaazzikka neena nu suuretexxam minna uxxadii? toozzaa qanggada hayqqaaga yaagaasu."
"Yaagin i zaaridi o, Neeni eeyya maccaasadan haasayaasa. ","Yaagim a zaaridi o, Nee na'eeyya machhchhaasadam haasayaasa. "
"Eti a haahuwan eqqidi xeelliyo wode, i Iyyooba gidiyoogaa eribookkona.","Eta a haahuwam eqqidi teelliyo wode, a Iyyooba gidiyoogaa eribookkona."
"Hegaappe guyyiyan, eti aara laappun gallassaanne laappun qammaa biittan uttidosona.","Hegaaffe guyyiyan, inxxe  aari laaffum gallazzaanne laaffum qammaa biixxam uxxidosona."
Naa7ima biittaappe yiida Xoofaari hagaadan yaagidi zaariis;,Naa7ima biixxaaffe yiida toofaari hagaadam yaagidi zaariis;
"Ne haasayay tana lanccissido gishshaw, taani aynne takkennan ne haasayaayyo zaaruwaa immana.","Ne haasayay tana lanchhchhizzido gizhzhaw, taana aynne takkennam nu haasayaayyo zaaruwaa immana."
" A sahoy keehi daridoogaa eti be7ido gishshaw, ayyo ay asinne qaalanne qaattibeenna."," A sahoy keehi daridoogaa inxxe  be7ido gizhzhaw, ayyo ay asinne qaalanne qaaxxibeenna."
Ne cashsha haasayaa taani siyays; siyin ayyo bessiya zaaruwaa tana imma imma gees.,Ne chhazhzha haasayaa taana siyays; siyim ayyo bezziya zaaruwaa tana imma imma gees.
"Iita asi shaaraa gakkanaashin aduqqikkokka,","Iita asi shaaraa gakkanaashim aduqqikkokka,"
"i buhiyaadan pitetti xayana. A eriya ubbay, I awan de7ii?yaagana.","i buhiyaadam pitexxi tayana. A eriya ubbay, I awam de7ii?yaagana."
aymuwaadan i paalli xayana; simmidikka beettenna; qammaa ajjuutaadan i xayi bayana.,aymuwaadam a paalli tayana; simmidikka beexxenna; qammaa ajjuutaadam a tayi bayana.
"A be7ida ayfeti naa77anttidi, a be7okkona; i ba de7iyoosaappekka tippi giidi xayana.","A be7ida ayfeta naa77anxxidi, a be7okkona; a ba de7iyoosaaffekka tiffi giidi tayana."
Iita aaway bonqqi ekkido miishshaa a naati bantta kushiyan guyye zaarana.,Iita aaway bonqqi ekkido miizhzhaa a naata banxxa kushiyam guyye zaarana.
"Payyanne mino gidiya a bollay guutta wodiyaappe guyyiyan, biitta kiyana.","Payyanne mino gidiya a bollay guuxxa wodiyaaffe guyyiyan, biixxa kiyana."
"Iita asa doonan iitatettay qumadan laqilaqikkokka, i ba inxxarssaappe garssa baggaara genttikkokka,","Iita asa doonam iitatexxay qumadam laqilaqikkokka, a ba inxxarzzaaffe garzza baggaari genxxikkokka,"
"wurennaadan ba doonan coommiiddi, wotti bayikkokka,","wurennaadam ba doonam chhoommiiddi, woxxi bayikkokka,"
a ulo giddon a qumay laamettana; laamettidi woriya shooshshaa yiishshaa mala aw gidana.,a ulo giddom a qumay laamexxana; laamexxidi woriya shoozhzhaa yiizhzhaa mala aw gidana.
Iita asi ba mittido duretettaa haa cuchchana; a uluwaappe Xoossay cooshshidi kessana.,Iita asi ba mixxido duretexxaa haa chhuchhchhana; a uluwaaffe toozzay chhoozhzhidi kezzana.
"Iita asi mittiyoobay aw yiishsha gidana; shooshshaa yiishshaa mala gididi, a worana.","Iita asi mixxiyoobay aw yiizhzha gidana; shoozhzhaa yiizhzhaa mala gididi, a worana."
"Eessaynne maattay haattaadan goggishin, i be7ennan hayqqana.","Eezzaynne maaxxay haaxxaadam goggishin, a be7ennam hayqqana."
"Ba daafurido daafuraa cawaa meennan, haraassi sheedhdhana; zal77idi worissido ba woriyankka ufayttenna.","Ba daafurido daafuraa chhawaa meennan, haraazzi sheeggana; zal77idi worizzido ba woriyankka ufayxxenna."
"ayssi giikko, hiyyeesata i un77ettiis; eta shenehoo giis; hara asi keexxido keettaakka baw ekkiis.","ayzzi giikko, hiyyeesata a un77exxiis; inxxena  shenehoo giis; hari asi keexxido keexxaakka baw ekkiis."
A yiiqiyaw zawi baawa; ba dosiyoobaa xarzzanaw danddayenna;,A yiiqiyaw zawi baawa; ba dosiyoobaa tarzzanaw danddayenna;
"i miidoogaappe guyyiyan, aybinne attenna. Hegaa gishshaw, a duretettay gam77enna.","i miidoogaaffe guyyiyan, aybinne axxenna. Hegaa gizhzhaw, a duretexxay gam77enna."
"I daro aquwaa demmiyo wode, metoy akeekennan a bolli gakki wodhdhana.","I daro aquwaa demmiyo wode, metoy akeekennam a bolli gakki woggana."
"I miidi kallishin, Xoossay a qaxxayanaw ba suulliya hanqquwaa a bolli gussana.","I miidi kallishin, toozzay a qaxxayanaw ba suulliya hanqquwaa a bolli guzzana."
Birata bisuwaappe i baqatana; shin nahaasiyaa zubbee a caddana.,Birata bisuwaaffe a baqatana; shim nahaasiyaa zubbee a chhaddana.
"He zubbee ayyo zokkuwaara kantti kiyana; he phooliyaa xeeray a tiriyaa kanttidi, ciyyiyaa gussana. ","He zubbee ayyo zokkuwaari kanxxi kiyana; he hpooliyaa teeray a tiriyaa kanxxidi, chhiyyiyaa guzzana. "
I shiishshido aqo ubbay xayana; asi eettibeenna tamay a maana; a keettan attida asay ubbaykka taman meetettana.,I shiizhzhido aqo ubbay tayana; asi eexxibeenna tamay a maana; a keexxam axxida asay ubbaykka tamam meetexxana.
Saloti ha bitaniyaa nagaraa qonccissana; biittaykka a bolli markkattana.,Salota ha bitanayaa nagaraa qonchhchhizzana; biixxaykka a bolli markkaxxana.
Xoossay hanqqettidi ehiyo beetan a keettaynne ayyo de7iyaabay ubbay shohettidi baana.,toozzay hanqqexxidi ehiyo beetam a keexxaynne ayyo de7iyaabay ubbay shohexxidi baana.
Xoossay iita asatuyyo wottido qaaday hagaa yaagiis.,toozzay iita asatuyyo woxxido qaaday hagaa yaagiis.
"Hegaappe guyyiyan, Iyyoobi hagaadan yaagidi zaariis;","Hegaaffe guyyiyan, Iyyoobi hagaadam yaagidi zaariis;"
Ane ta haasayaa akeekidi ezggite; ezggiyoogee intte tana minttettiyoogaa gido bayin.,Ane ta haasayaa akeekidi ezggite; ezggiyoogee inxxe tana minxxexxiyoogaa gido bayin.
"Taani issiton haasayanaw taayyo kayaa immite. Taani haasaya simmin, qilliiccite!","Taana izzitom haasayanaw taayyo kayaa immite. Taana haasaya simmin, qilliichhchhite!"
"Taani mootettiyoy asaara gidenna. Yaatin, taw danddayay wurikko, hegee garamissiyaabee?","Taana mootexxiyoy asaari gidenna. Yaatin, taw danddayay wurikko, hegee garamizziyaabee?"
Ane tana xeellite; xeellidi garamettite; intte kushiyankka intte doonaa oyqqite.,Ane tana teellite; teellidi garamexxite; inxxe kushiyankka inxxe doonaa oyqqite.
"Tana gakkidabaa taani qoppiyo wodekka, tana daganttees; ta bollaykka kokkorees.","Tana gakkidabaa taana qoffiyo wodekka, tana daganxxees; ta bollaykka kokkorees."
Iita asati ayssi paxa de7iyoonaa? Eta baree ayssi aduqqii? Eta wolqqaykka ayssi dari dari bii?,Iita asata ayzzi pata de7iyoonaa? inxxena  baree ayzzi aduqqii? inxxena  wolqqaykka ayzzi dari dari bii?
"Etaw naatinne naatu naati de7oosona; eti diccishin be7anaw, gam77idi de7oosona.","Etaw naatinne naatu naata de7oosona; inxxe  dichhchhishim be7anaw, gam77idi de7oosona."
Eta soy hirggi baynnan saro de7ees; Xoossay eta ba gatiman shoci erenna.,Eta soy hirggi baynnam saro de7ees; toozzay inxxena  ba gatimam shochhi erenna.
"Eta korima boorati macca miizzaara gayttiyo wode, koxxennaadan oyttoosona; macca miizzatikka awcayennan yeloosona.","Eta korima boorata machhchha miizzaari gayxxiyo wode, koxxennaadam oyxxoosona; machhchha miizzatikka awchhayennam yeloosona."
Bantta naata dorssaa wudiyaadan kessoosona; eta naatikka yan han duroosona.,Banxxa naata dorzzaa wudiyaadam kezzoosona; inxxena  naatikka yam ham duroosona.
"Karaabiyaa baqqiiddinne diittaa diixxiiddi, yettaa yexxoosona; pulaaliyaa punniiddikka ufayttoosona.","Karaabiyaa baqqiiddinne diixxaa diixxiiddi, yexxaa yexxoosona; pulaaliyaa punnaiddikka ufayxxoosona."
"Eti bantta de7o layttaa ishaluwan polidi, bantta duufuwaakka saro boosona.","Eta banxxa de7o layxxaa ishaluwam polidi, banxxa duufuwaakka saro boosona."
"Yaanidikka eti Xoossaa, Nuuppe haakka! Nuuni ne ogiyaa eranaw koyokko!","Yaanadikka inxxe  toozzaa, Nuuffe haakka! neena nu ogiyaa eranaw koyokko!"
"Nuuni ayyo oottanaw Ubbaa Danddayiya Xoossay oonee? Nuuni a woossidi, go7ettanabi aybee?yaagoosona.","Nuuna ayyo ooxxanaw Ubbaa Danddayiya toozzay oonee? neena a woozzidi, go7exxanabi aybee?yaagoosona."
Eti bantta ishalo de7uwaa bantta minotettan demmida goosona; shin taani eta qofaa ekkikke.,Eta banxxa ishalo de7uwaa banxxa minotexxam demmida goosona; shim taana inxxena  qofaa ekkikke.
Iita asatu de7uwaa xomppee to7i erii? Eta bolli bashshay wodhdhi erii? Xoossay ba hanqquwan eta qaxxayi erii?,Iita asatu de7uwaa tomffee to7i erii? inxxena  bolli bazhzhay woggi erii? toozzay ba hanqquwam inxxena  qaxxayi erii?
Carkkuwaa sinttan eti suullaadan hanido wodee de7ii? Gotee pitti efiyo baanaadan eti hani eriyoonaa?,chharkkuwaa sinxxam inxxe  suullaadam hanado wodee de7ii? Gotee pixxi efiyo baanaadam inxxe  ha na'eriyoonaa?
"Intte, Xoossay aawatu mooruwan eta naata qaxxayeesyaageeta.","Inxxe, toozzay aawatu mooruwam inxxena  naata qaxxayeesyaageeta."
Eti bantta qixaatiyaa banttaw ekkona. Ubbaa Danddayiya Xoossaa hanqquwaa xuu7aakka eti bantta huuphen uyona.,Eta banxxa qitaatiyaa banxxaw ekkona. Ubbaa Danddayiya toozzaa hanqquwaa tuu7aakka inxxe  banxxa huuhpem uyona.
"ayssi giikko, eti hayqqiichchidoogaappe guyyiyan, eta naata aybi gakkikkonne koyokkona.","ayzzi giikko, inxxe  hayqqiichhchhidoogaaffe guyyiyan, inxxena  naata aybi gakkikkonne koyokkona."
Bolla xoqqan de7iyaageeta pirddiya Xoossaa eraa tamaarissanaw danddayiya asi de7ii?,Bolla toqqam de7iyaageeta pirddiya toozzaa eraa tamaarizzanaw danddayiya asi de7ii?
 Ane Xoossay nagaranchchata eta huuphen qaxxayo! Yaatiyaakko eti bantta mooruwaa erana., Ane toozzay nagaranchhchhata inxxena  huuhpem qaxxayo! Yaatiyaakko inxxe  banxxa mooruwaa erana.
"Issi asi kumetta wolqqaynne kumetta saroy de7ishin, ishaluwan de7iiddi hayqqees.","Izzi asi kumexxa wolqqaynne kumexxa saroy de7ishin, ishaluwam de7iiddi hayqqees."
"A bollay orddidaashin, a meqettaa kolzzeekka shica de7ishin hayqqees.","A bollay orddidaashin, a meqexxaa kolzzeekka shichha de7ishim hayqqees."
"SHin hara asi a shemppuwan azzanoy paccennan, ba de7on mulekka lo77obaa demmennan hayqqees.","SHim hari asi a shemffuwam azzanoy pachhchhennan, ba de7om mulekka lo77obaa demmennam hayqqees."
Hayqqidi eti naa77aykka issi mala biittan moogettoosona; eta naa77aakka guxuneti kammoosona.,Hayqqidi inxxe  naa77aykka izzi mala biixxam moogexxoosona; inxxena  naa77aakka gutuneta kammoosona.
"Intte tana naaqqanaw qoppidi, intte wozanan halchchido halchchuwaa muliyaa taani loyttada erays.","Inxxe tana naaqqanaw qoffidi, inxxe wozanam halchhchhido halchhchhuwaa muliyaa taana loyxxada erays."
"Intte, He iitaa oottiya, gita bitaniyaa keettay ha77i awaanee?yaageeta.","Inxxe, He iitaa ooxxiya, gita bitanayaa keexxay ha77i awaanee?yaageeta."
Ogiyaara hemettiya asata oychchibeekketii? Eti odiyoogaa ammanekketii?,Ogiyaari hemexxiya asata oychhchhibeekketii? inxxe  odiyoogaa ammanekketii?
"Eti, Iita asati bashshaa gallassi boshettennan attoosona; Xoossaa hanqqoy qoncciyo gallassikka eti kessi ekkanayaagoosona.","Eti, Iita asata bazhzhaa gallazzi boshexxennam axxoosona; toozzaa hanqqoy qonchhchhiyo gallazzikka inxxe  kezzi ekkanayaagoosona."
Iita asa a iitatettaw oonee walassanay? I oottido iitabawkka a qaxxayanay oonee?,Iita asa a iitatexxaw oonee walazzanay? a ooxxido iitabawkka a qaxxayanay oonee?
"I hayqqin, a ahaa duufuwaa efiyo wode, a duufoy bonchchuwan naagettana.","I hayqqin, a ahaa duufuwaa efiyo wode, a duufoy bonchhchhuwam naagexxana."
Qoodi baynna asay a baliyan pe7ees; a duufuwaa biittaykka utulaadan aw kawyyees.,Qoodi baynna asay a baliyam pe7ees; a duufuwaa biixxaykka utulaadam aw kawyyees.
"Yaatin, intte tana waati hada oduwan minttetteetii? Intte ta oyshaassi zaarido zaaroy ubbay worddo! yaagiis.","Yaatin, inxxe tana waata hada oduwam minxxexxeetii? Inxxe ta oyshaazzi zaarido zaaroy ubbay worddo! yaagiis."
"Hegaappe guyyiyan, Temaana biittaappe yiida Elifaazi hagaadan yaagidi zaariis;","Hegaaffe guyyiyan, Temaana biixxaaffe yiida Elifaazi hagaadam yaagidi zaariis;"
"Asi Xoossaa go77anaw danddayii? Haray atto aadhdhida eranchcha gidiyaakkokka, i bana go77anaappe attin, Xoossaa go77enna.","Asi toozzaa go77anaw danddayii? Haray axxo aaggida eranchhchha gidiyaakkokka, a bana go77anaaffe axxin, toozzaa go77enna."
"Neeni xillo gidikko, hegee Ubbaa Danddayiya Xoossaa ufayssii? Ne ogee boree baynnaagaa gidikko, hegan i ayba wore demmii?","Neena tillo gidikko, hegee Ubbaa Danddayiya toozzaa ufayzzii? nu ogee boree baynnaagaa gidikko, hegam a ayba wore demmii?"
"Neeni ayyo yayyiyo gishshaassee, i nena seeriyoogeenne pirddiyoogee?","Neena ayyo yayyiyo gizhzhaazzee, a nena seeriyoogeenne pirddiyoogee?"
Ne iitatettay daro gidennee? Ne nagaraw zawi baawa.,Ne iitatexxay daro gidennee? nu nagaraw zawi baawa.
Neeni ne ishata gaasoy baynnan waasiyaa xeesissadasa; asaa maayuwaakka qaarada eta kallo ashshadasa.,Neena nu ishata gaasoy baynnam waasiyaa teesizzadasa; asaa maayuwaakka qaarada inxxena  kallo azhzhadasa.
Neeni saamettidaageeta haattaa ushshabaakka; namisettidaageetakka qumaa diggadasa.,Neena saamexxidaageeta haaxxaa uzhzhabaakka; namisexxidaageetakka qumaa diggadasa.
"Neeni ne wolqqaaninne ne maatan zemppada, hara asaa biittaa neeyyo coo ekkadasa.","Neena nu wolqqaananne nu maatam zemffada, hari asaa biixxaa neeyyo chhoo ekkadasa."
Am77eta mela kushe yeddadasa; aawi baynnaageetakka huqqunnadasa.,Am77eta mela kushe yeddadasa; aawi baynnaageetakka huqqunnadasa.
Ne yuushuwan gitee dooddi uttidoogee hegaassa; akeekennan yashshay nena kokkorssiyoogeekka hegaassa.,Ne yuushuwam gitee dooddi uxxidoogee hegaazza; akeekennam yazhzhay nena kokkorzziyoogeekka hegaazza.
"Neeni be7ennaadan, neeyyo xumiyoogee hegaassa; qassi kixa haattay nena muukkiyoogeekka hegaassa.","Neena be7ennaadan, neeyyo tumiyoogee hegaazza; qazzi kita haaxxay nena muukkiyoogeekka hegaazza."
"Xoossay bolla xoqqa saluwan uttidi, xoqqan de7iya xoolintteta duge xeellees.","toozzay bolla toqqa saluwam uxxidi, toqqam de7iya toolinxxeta duge teellees."
"SHin neeni, Xoossay ay erii? I hegaa mala, sakkana xumaa giddoorakka pirddanaw danddayii?","SHim neena, toozzay ay erii? a hegaa mala, sakkana tumaa giddoorakka pirddanaw danddayii?"
"Salo gufanttuwaa bolli i simerettiyo wode, i be7ennaadan, sikkida shaaray a goozeesyaagaasa.","Salo gufanxxuwaa bolli a simerexxiyo wode, a be7ennaadan, sikkida shaaray a goozeesyaagaasa."
Nagaranchchati hemettido beni ogiyan baanaw qofaa qachchadii?,Nagaranchhchhata hemexxido bena ogiyam baanaw qofaa qachhchhadii?
Eti bantta wodee gakkennan de7ishin hayqqidosona; eta de7uwaa baasoykka di7uwan meecetti xayiis.,Eta banxxa wodee gakkennam de7ishim hayqqidosona; inxxena  de7uwaa baasoykka di7uwam meechhexxi tayiis.
"Eti Xoossaa, Nuuppe haakka! Ubbaa Danddayiya Xoossay nuuyyo ay oottanaw danddayii?yaagidosona.","Eta toozzaa, Nuuffe haakka! Ubbaa Danddayiya toozzay nuuyyo ay ooxxanaw danddayii?yaagidosona."
"Gidikkonne, eta keettan lo77obaa kunttidaagee Xoossaa. Hegaa gishshaw, iita asatu qofay taayyo gelenna.","Gidikkonne, inxxena  keexxam lo77obaa kunxxidaagee toozzaa. Hegaa gizhzhaw, iita asatu qofay taayyo gelenna."
"Iita asatu bolli gakkiyaabaa be7idi, xilloti ufayttoosona; suure asatikka hagaadan yaagidi, eta bolli qilliiccoosona;","Iita asatu bolli gakkiyaabaa be7idi, tillota ufayxxoosona; suure asatikka hagaadam yaagidi, inxxena  bolli qilliichhchhoosona;"
Tumaappe nu morkketi xayidosona; eta duretettaakka tamay miisyaagoosona.,Tumaaffe nu morkketa tayidosona; inxxena  duretexxaakka tamay miisyaagoosona.
"Iyyoobaa, ha77ikka Xoossaara giiga; aara saro de7a. Yaatikko, neeni anjjettana.","Iyyoobaa, ha77ikka toozzaari giiga; aari saro de7a. Yaatikko, neena anjjexxana."
A doonaappe timirttiyaa ekka; a qaalatakka ne wozanan wotta.,A doonaaffe timirxxiyaa ekka; a qaalatakka nu wozanam woxxa.
"Nenatettaa ziqqissada, Ubbaa Danddayiya Xoossaakko, neeni simma; iita ooso ubbaa ne sooppe digga.","Nenatexxaa ziqqizzada, Ubbaa Danddayiya toozzaakko, neena simma; iita ooso ubbaa nu sooffe digga."
Ne worqqaa sa7an ola; ne muruta worqqaakka shaafaa shuchchan ola.,Ne worqqaa sa7am ola; nu muruta worqqaakka shaafaa shuchhchham ola.
Ubbaa Danddayiya Xoossay neeyyo worqqanne doorettida bira gido.,Ubbaa Danddayiya toozzay neeyyo worqqanne doorexxida biri gido.
"Hegaappe guyyiyan, neeni Ubbaa Danddayiya Xoossan tumu ufayttana; ufayttada yeellatenna Xoossaakko pude xeellana.","Hegaaffe guyyiyan, neena Ubbaa Danddayiya toozzam tumu ufayxxana; ufayxxada yeellatenna toozzaakko pude teellana."
Neeni Xoossaa woossana; woossin i siyana; qassi neeni ne shiiquwaa ayyo gattana.,Neena toozzaa woozzana; woozzim a siyana; qazzi neena nu shiiquwaa ayyo gaxxana.
Neeni zorettada qachchidobay neeyyo polettana; ne hemettiyo ogiyankka poo7oy poo7ana.,Neena zorexxada qachhchhidobay neeyyo polexxana; nu hemexxiyo ogiyankka poo7oy poo7ana.
"ayssi giikko, Xoossay otorettiyaageeta kawshshees; shin banttana ziqqissiyaageeta ashshees.","ayzzi giikko, toozzay otorexxiyaageeta kawzhzhees; shim banxxana ziqqizziyaageeta azhzhees."
"I suure asa wotti ekkees. Ne kushee naaquwaappe geeshsha gidikko, i nena ashshana yaagiis.","I suure asa woxxi ekkees. nu kushee naaquwaaffe geezhzha gidikko, a nena azhzhana yaagiis."
Yaagin Iyyoobi hagaadan yaagidi zaariis;,Yaagim Iyyoobi hagaadam yaagidi zaariis;
"Taani ha77ikka Xoossaa bolli makkalaysinne zuuzummays; ayssi giikko, taani oolinkka a kushee ta bolli deexxiyoogaa aggibeenna.","Taana ha77ikka toozzaa bolli makkalaysinne zuuzummays; ayzzi giikko, taana oolinkka a kushee ta bolli deexxiyoogaa aggibeenna."
I de7iyoosaa taani erarkkinaashsha! I uttidosaakka gakkarkkinaashsha!,I de7iyoosaa taa na'erarkkinaazhzha! a uxxidosaakka gakkarkkinaazhzha!
"Yaatiyaakko, taani ta mootuwaa a sinttan biddana shin! Ta doonaakka palaman kunttana shin!","Yaatiyaakko, taana ta mootuwaa a sinxxam biddana shin! Ta doonaakka palamam kunxxana shin!"
I ta mootuwaayyo zaariyoobi aybakkokka taani erana shin!,I ta mootuwaayyo zaariyoobi aybakkokka taa na'erana shin!
"I ba gita wolqqan tanaara eqettaneeshsha? CHii, chii, i taani odiyoogaa siyanaappe attin, hegaa hanenna.","I ba gita wolqqam tanaari eqexxaneezhzha? chhHii, chhhii, a taana odiyoogaa siyanaaffe axxin, hegaa hanenna."
"Ta wozanay suure gidiyo gishshaw, taani Xoossaara mootettanaw danddayays; i ta daannay tana merinaw shatinttana.","Ta wozanay suure gidiyo gizhzhaw, taana toozzaari mootexxanaw danddayays; a ta daannay tana merinaw shatinxxana."
"SHin ayssee, taani arshsho biikko, i yan de7enna; qassi taani arggo biikkokka, a demmikke.","SHim ayzzee, taana arzhzho biikko, a yam de7enna; qazzi taana arggo biikkokka, a demmikke."
"I huuphessa bagga biittan oottiyo wode, taani a be7ikke; qassi tohossa bagga biitti simmiyo wodekka, taani a demmikke.","I huuhpezza bagga biixxam ooxxiyo wode, taana a be7ikke; qazzi tohozza bagga biixxi simmiyo wodekka, taana a demmikke."
"SHin i ta tangguwaa ubbaa erees; i tana paaccikko, taani worqqaadan geeshsha gidiyoogaa i be7ana.","SHim a ta tangguwaa ubbaa erees; a tana paachhchhikko, taana worqqaadam geezhzha gidiyoogaa a be7ana."
Taani i hemettido ogiyaa baqqa oyqqada hemettaas; a ogiyaappe wora simmabeykke.,Taana a hemexxido ogiyaa baqqa oyqqada hemexxaas; a ogiyaaffe wori simmabeikke.
A doonaappe kiyiya azazuwaappe taani shaahettabeykke; a qaalaakka ta wozanan wottaas.,A doonaaffe kiyiya azazuwaaffe taana shaahexxabeikke; a qaalaakka ta wozanam woxxaas.
"Xoossay laamettenna. Aara eqettana, woykko ba koyidobaa i oottennaadan a teqqana asi baawa.","toozzay laamexxenna. Aari eqexxana, woykko ba koyidobaa a ooxxennaadam a teqqana asi baawa."
"I taayyo halchchidobaa polana; hegeetu mala, hara daro halchchotikka ayyo de7oosona.","I taayyo halchhchhidobaa polana; hegeetu mala, hari daro halchhchhotikka ayyo de7oosona."
"Hegaa gishshaw, a sinttan eqqiyoogee keehippe tana yashshees; hegaa ubbabaa qoppada, taani kokkorays.","Hegaa gizhzhaw, a sinxxam eqqiyoogee keehiffe tana yazhzhees; hegaa ubbabaa qoffada, taana kokkorays."
